Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Train Epoch: 6 [0/50000 (0%)]	Train Loss: 2.055087	Val Loss: 2.068060	Val Acc: 38.8671875
Train Epoch: 6 [5120/50000 (10%)]	Train Loss: 1.999043	Val Loss: 2.069659	Val Acc: 38.7109375
Train Epoch: 6 [10240/50000 (20%)]	Train Loss: 2.052629	Val Loss: 2.084292	Val Acc: 37.265625
Train Epoch: 6 [15360/50000 (31%)]	Train Loss: 2.056962	Val Loss: 2.073514	Val Acc: 38.203125
Train Epoch: 6 [20480/50000 (41%)]	Train Loss: 2.019567	Val Loss: 2.061657	Val Acc: 40.1171875
Train Epoch: 6 [25600/50000 (51%)]	Train Loss: 2.038502	Val Loss: 2.047269	Val Acc: 41.171875
Train Epoch: 6 [30720/50000 (61%)]	Train Loss: 2.022346	Val Loss: 2.070934	Val Acc: 38.59375
Train Epoch: 6 [35840/50000 (71%)]	Train Loss: 2.054380	Val Loss: 2.063607	Val Acc: 39.0625
Train Epoch: 6 [40960/50000 (82%)]	Train Loss: 2.006284	Val Loss: 2.055372	Val Acc: 40.5078125
Train Epoch: 6 [46080/50000 (92%)]	Train Loss: 2.044402	Val Loss: 2.060605	Val Acc: 39.4921875

test set: Average loss: 2.0665, Accuracy: 3893/10000 (39%)

Train Epoch: 7 [0/50000 (0%)]	Train Loss: 2.043040	Val Loss: 2.065780	Val Acc: 38.7890625
Train Epoch: 7 [5120/50000 (10%)]	Train Loss: 2.047523	Val Loss: 2.052025	Val Acc: 40.8984375
Train Epoch: 7 [10240/50000 (20%)]	Train Loss: 2.029801	Val Loss: 2.065740	Val Acc: 39.140625
Train Epoch: 7 [15360/50000 (31%)]	Train Loss: 2.072560	Val Loss: 2.074562	Val Acc: 38.28125
Train Epoch: 7 [20480/50000 (41%)]	Train Loss: 2.060482	Val Loss: 2.060038	Val Acc: 39.5703125
Train Epoch: 7 [25600/50000 (51%)]	Train Loss: 2.017492	Val Loss: 2.063770	Val Acc: 39.375
Train Epoch: 7 [30720/50000 (61%)]	Train Loss: 2.054630	Val Loss: 2.075351	Val Acc: 37.8125
Train Epoch: 7 [35840/50000 (71%)]	Train Loss: 2.050215	Val Loss: 2.058420	Val Acc: 40.2734375
Train Epoch: 7 [40960/50000 (82%)]	Train Loss: 2.041784	Val Loss: 2.062890	Val Acc: 38.8671875
Train Epoch: 7 [46080/50000 (92%)]	Train Loss: 2.011926	Val Loss: 2.049065	Val Acc: 40.625

test set: Average loss: 2.0591, Accuracy: 3973/10000 (40%)

Train Epoch: 8 [0/50000 (0%)]	Train Loss: 2.055587	Val Loss: 2.054076	Val Acc: 40.15625
Train Epoch: 8 [5120/50000 (10%)]	Train Loss: 2.036326	Val Loss: 2.066378	Val Acc: 39.1015625
Train Epoch: 8 [10240/50000 (20%)]	Train Loss: 2.017636	Val Loss: 2.064538	Val Acc: 39.1015625
Train Epoch: 8 [15360/50000 (31%)]	Train Loss: 2.038579	Val Loss: 2.049098	Val Acc: 40.5078125
Train Epoch: 8 [20480/50000 (41%)]	Train Loss: 2.032665	Val Loss: 2.054639	Val Acc: 39.765625
Train Epoch: 8 [25600/50000 (51%)]	Train Loss: 2.022201	Val Loss: 2.065073	Val Acc: 38.125
Train Epoch: 8 [30720/50000 (61%)]	Train Loss: 2.020546	Val Loss: 2.051975	Val Acc: 40.3515625
Train Epoch: 8 [35840/50000 (71%)]	Train Loss: 1.999598	Val Loss: 2.055011	Val Acc: 40.15625
Train Epoch: 8 [40960/50000 (82%)]	Train Loss: 2.062523	Val Loss: 2.055667	Val Acc: 40.078125
Train Epoch: 8 [46080/50000 (92%)]	Train Loss: 2.034537	Val Loss: 2.065977	Val Acc: 38.8671875

test set: Average loss: 2.0593, Accuracy: 3985/10000 (40%)

Train Epoch: 9 [0/50000 (0%)]	Train Loss: 2.022224	Val Loss: 2.057016	Val Acc: 40.15625
Train Epoch: 9 [5120/50000 (10%)]	Train Loss: 2.040846	Val Loss: 2.050504	Val Acc: 40.6640625
Train Epoch: 9 [10240/50000 (20%)]	Train Loss: 2.003198	Val Loss: 2.053474	Val Acc: 40.3125
Train Epoch: 9 [15360/50000 (31%)]	Train Loss: 2.012699	Val Loss: 2.048812	Val Acc: 40.8984375
Train Epoch: 9 [20480/50000 (41%)]	Train Loss: 2.062110	Val Loss: 2.047576	Val Acc: 40.859375
Train Epoch: 9 [25600/50000 (51%)]	Train Loss: 2.019573	Val Loss: 2.056392	Val Acc: 39.9609375
Train Epoch: 9 [30720/50000 (61%)]	Train Loss: 2.021871	Val Loss: 2.059316	Val Acc: 39.921875
Train Epoch: 9 [35840/50000 (71%)]	Train Loss: 2.013373	Val Loss: 2.051815	Val Acc: 40.234375
Train Epoch: 9 [40960/50000 (82%)]	Train Loss: 2.055133	Val Loss: 2.064584	Val Acc: 38.7890625
Train Epoch: 9 [46080/50000 (92%)]	Train Loss: 2.015787	Val Loss: 2.050709	Val Acc: 41.0546875

test set: Average loss: 2.0545, Accuracy: 3999/10000 (40%)

Train Epoch: 10 [0/50000 (0%)]	Train Loss: 2.037617	Val Loss: 2.048894	Val Acc: 40.4296875
Train Epoch: 10 [5120/50000 (10%)]	Train Loss: 2.018554	Val Loss: 2.078272	Val Acc: 37.6171875
Train Epoch: 10 [10240/50000 (20%)]	Train Loss: 2.033121	Val Loss: 2.063628	Val Acc: 39.0234375
Train Epoch: 10 [15360/50000 (31%)]	Train Loss: 2.045173	Val Loss: 2.049913	Val Acc: 40.8203125
Train Epoch: 10 [20480/50000 (41%)]	Train Loss: 2.026745	Val Loss: 2.052897	Val Acc: 40.3515625
Train Epoch: 10 [25600/50000 (51%)]	Train Loss: 2.000004	Val Loss: 2.060186	Val Acc: 39.4140625
Train Epoch: 10 [30720/50000 (61%)]	Train Loss: 2.047470	Val Loss: 2.057209	Val Acc: 40.3515625
Train Epoch: 10 [35840/50000 (71%)]	Train Loss: 2.056872	Val Loss: 2.043413	Val Acc: 41.4453125
Train Epoch: 10 [40960/50000 (82%)]	Train Loss: 2.058769	Val Loss: 2.052912	Val Acc: 40.234375
Train Epoch: 10 [46080/50000 (92%)]	Train Loss: 2.083470	Val Loss: 2.057594	Val Acc: 39.375

test set: Average loss: 2.0564, Accuracy: 3966/10000 (40%)

Train Epoch: 11 [0/50000 (0%)]	Train Loss: 2.022464	Val Loss: 2.053217	Val Acc: 40.4296875
Train Epoch: 11 [5120/50000 (10%)]	Train Loss: 2.014987	Val Loss: 2.047157	Val Acc: 41.5234375
Train Epoch: 11 [10240/50000 (20%)]	Train Loss: 2.043995	Val Loss: 2.053987	Val Acc: 41.25
Train Epoch: 11 [15360/50000 (31%)]	Train Loss: 2.003511	Val Loss: 2.050335	Val Acc: 40.5859375
Train Epoch: 11 [20480/50000 (41%)]	Train Loss: 2.037385	Val Loss: 2.049617	Val Acc: 41.015625
Train Epoch: 11 [25600/50000 (51%)]	Train Loss: 2.001815	Val Loss: 2.045918	Val Acc: 40.703125
Train Epoch: 11 [30720/50000 (61%)]	Train Loss: 2.031828	Val Loss: 2.052209	Val Acc: 40.546875
Train Epoch: 11 [35840/50000 (71%)]	Train Loss: 2.023350	Val Loss: 2.047834	Val Acc: 40.5078125
Train Epoch: 11 [40960/50000 (82%)]	Train Loss: 2.023112	Val Loss: 2.058371	Val Acc: 39.921875
Train Epoch: 11 [46080/50000 (92%)]	Train Loss: 2.017979	Val Loss: 2.045582	Val Acc: 41.171875

test set: Average loss: 2.0546, Accuracy: 3986/10000 (40%)

Train Epoch: 12 [0/50000 (0%)]	Train Loss: 2.036877	Val Loss: 2.036126	Val Acc: 41.5234375
Train Epoch: 12 [5120/50000 (10%)]	Train Loss: 2.028522	Val Loss: 2.052582	Val Acc: 39.921875
Train Epoch: 12 [10240/50000 (20%)]	Train Loss: 2.024999	Val Loss: 2.053349	Val Acc: 40.1953125
Train Epoch: 12 [15360/50000 (31%)]	Train Loss: 2.018592	Val Loss: 2.061054	Val Acc: 39.2578125
Train Epoch: 12 [20480/50000 (41%)]	Train Loss: 2.027040	Val Loss: 2.048983	Val Acc: 40.1953125
Train Epoch: 12 [25600/50000 (51%)]	Train Loss: 2.011248	Val Loss: 2.046284	Val Acc: 40.9765625
Train Epoch: 12 [30720/50000 (61%)]	Train Loss: 1.998775	Val Loss: 2.061200	Val Acc: 38.9453125
Train Epoch: 12 [35840/50000 (71%)]	Train Loss: 2.005436	Val Loss: 2.059564	Val Acc: 39.3359375
Train Epoch: 12 [40960/50000 (82%)]	Train Loss: 2.032195	Val Loss: 2.035738	Val Acc: 41.953125
Train Epoch: 12 [46080/50000 (92%)]	Train Loss: 2.016472	Val Loss: 2.055821	Val Acc: 40.3125

test set: Average loss: 2.0559, Accuracy: 4022/10000 (40%)

Train Epoch: 13 [0/50000 (0%)]	Train Loss: 2.040008	Val Loss: 2.062886	Val Acc: 39.2578125
Train Epoch: 13 [5120/50000 (10%)]	Train Loss: 1.991788	Val Loss: 2.055900	Val Acc: 39.921875
Train Epoch: 13 [10240/50000 (20%)]	Train Loss: 2.022738	Val Loss: 2.050765	Val Acc: 40.3125
Train Epoch: 13 [15360/50000 (31%)]	Train Loss: 2.004419	Val Loss: 2.044181	Val Acc: 41.25
Train Epoch: 13 [20480/50000 (41%)]	Train Loss: 2.035097	Val Loss: 2.053692	Val Acc: 40.3515625
Train Epoch: 13 [25600/50000 (51%)]	Train Loss: 2.006827	Val Loss: 2.055862	Val Acc: 40.078125
Train Epoch: 13 [30720/50000 (61%)]	Train Loss: 2.047864	Val Loss: 2.052716	Val Acc: 40.3125
Train Epoch: 13 [35840/50000 (71%)]	Train Loss: 2.044661	Val Loss: 2.031845	Val Acc: 42.1484375
Train Epoch: 13 [40960/50000 (82%)]	Train Loss: 2.010626	Val Loss: 2.054258	Val Acc: 39.8828125
Train Epoch: 13 [46080/50000 (92%)]	Train Loss: 2.026651	Val Loss: 2.059325	Val Acc: 39.2578125

test set: Average loss: 2.0503, Accuracy: 4052/10000 (41%)

Train Epoch: 14 [0/50000 (0%)]	Train Loss: 2.004557	Val Loss: 2.059792	Val Acc: 39.3359375
Train Epoch: 14 [5120/50000 (10%)]	Train Loss: 1.995404	Val Loss: 2.062917	Val Acc: 39.1015625
Train Epoch: 14 [10240/50000 (20%)]	Train Loss: 2.039508	Val Loss: 2.056868	Val Acc: 39.7265625
Train Epoch: 14 [15360/50000 (31%)]	Train Loss: 2.016210	Val Loss: 2.054877	Val Acc: 39.8046875
Train Epoch: 14 [20480/50000 (41%)]	Train Loss: 2.015014	Val Loss: 2.065850	Val Acc: 38.8671875
Train Epoch: 14 [25600/50000 (51%)]	Train Loss: 2.022339	Val Loss: 2.045170	Val Acc: 40.8203125
Train Epoch: 14 [30720/50000 (61%)]	Train Loss: 2.017398	Val Loss: 2.052969	Val Acc: 39.8046875
Train Epoch: 14 [35840/50000 (71%)]	Train Loss: 1.989590	Val Loss: 2.045500	Val Acc: 41.015625
Train Epoch: 14 [40960/50000 (82%)]	Train Loss: 2.028227	Val Loss: 2.053681	Val Acc: 40.3515625
Train Epoch: 14 [46080/50000 (92%)]	Train Loss: 2.020190	Val Loss: 2.050581	Val Acc: 40.546875

test set: Average loss: 2.0515, Accuracy: 4058/10000 (41%)

Train Epoch: 15 [0/50000 (0%)]	Train Loss: 2.046573	Val Loss: 2.052228	Val Acc: 40.390625
Train Epoch: 15 [5120/50000 (10%)]	Train Loss: 1.984324	Val Loss: 2.052092	Val Acc: 40.0390625
Train Epoch: 15 [10240/50000 (20%)]	Train Loss: 2.025628	Val Loss: 2.041468	Val Acc: 41.328125
Train Epoch: 15 [15360/50000 (31%)]	Train Loss: 2.032908	Val Loss: 2.052732	Val Acc: 40.5859375
Train Epoch: 15 [20480/50000 (41%)]	Train Loss: 2.016198	Val Loss: 2.055955	Val Acc: 39.6484375
Train Epoch: 15 [25600/50000 (51%)]	Train Loss: 2.034842	Val Loss: 2.042523	Val Acc: 41.328125
Train Epoch: 15 [30720/50000 (61%)]	Train Loss: 2.025027	Val Loss: 2.038486	Val Acc: 42.0703125
Train Epoch: 15 [35840/50000 (71%)]	Train Loss: 2.033649	Val Loss: 2.039789	Val Acc: 41.171875
Train Epoch: 15 [40960/50000 (82%)]	Train Loss: 2.031104	Val Loss: 2.056838	Val Acc: 40.234375
Train Epoch: 15 [46080/50000 (92%)]	Train Loss: 2.009088	Val Loss: 2.054692	Val Acc: 39.9609375

test set: Average loss: 2.0513, Accuracy: 4036/10000 (40%)

Train Epoch: 16 [0/50000 (0%)]	Train Loss: 2.004194	Val Loss: 2.063265	Val Acc: 39.2578125
Train Epoch: 16 [5120/50000 (10%)]	Train Loss: 2.021589	Val Loss: 2.060989	Val Acc: 39.5703125
